symbol,pole_date,pole_low,pole_high,pole_high_date,pole_gain,flag_bars,flag_end_date,rail,rail_slope_pct,sweep_date,sweep_low,sweep_below_pct,entry_date,entry,stop,target,risk_pct,reward_R,atr,status,bars_since_entry,vol_x20,sweep_bars,sweep_red,sweep_red_frac,sweep_vol_x20,sweep_vol_vs_drift,sweep_close_pos,sweep_leg_pct,turnover_cr,entry_gt_prior_high,entry_gt_flush_high,entry_vs_rail_pct,rebased,rebased_from,R_voided,outcome,R,ret_horizon,mfe,mae,bars_held,R_struct,outcome_struct,bars_held_struct,entry_idx,sweep_idx,flag_end_idx,pole_idx,trigger_mode,last_close,pnl_pct,voided_setups,shortName,mcap_cr,watchlist,year,nifty_bull
JINDALPOLY.NS,2026-03-05,474.8,1026.45,2026-03-19,1.1619,6,2026-03-30,779.8,-4.305,2026-07-01,606.0,-22.29,2026-07-06,628.0,592.84,1026.45,5.6,11.33,26.31,DONE,,0.65,65,37,0.57,5.31,66.52,0.31,-5.0,4.57,False,True,-19.47,3,"2026-04-02,2026-04-29,2026-06-09",-1.78,open,2.042092940641889,0.06,0.2739,-0.0206,58,,open,58,2596,2529,2529,2513,first_bullish,699.7999877929688,0.11433119075313503,"[Setup(symbol='JINDALPOLY.NS', pole_date='2026-03-05', pole_low=474.8, pole_high=1026.45, pole_high_date='2026-03-19', pole_gain=1.1619, flag_bars=6, flag_end_date='2026-03-30', rail=779.8, rail_slope_pct=-4.305, sweep_date='2026-07-01', sweep_low=606.0, sweep_below_pct=-22.29, entry_date='2026-04-02', entry=772.35, stop=637.18, target=1026.45, risk_pct=17.5, reward_R=1.88, atr=55.55, status='DONE', bars_since_entry=nan, vol_x20=0.17, sweep_bars=65, sweep_red=37, sweep_red_frac=0.57, sweep_vol_x20=5.31, sweep_vol_vs_drift=66.52, sweep_close_pos=0.31, sweep_leg_pct=-5.0, turnover_cr=4.57, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.6, ret_horizon=-0.1079, mfe=0.1575, mae=-0.1843, bars_held=14, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2531, sweep_idx=2529, flag_end_idx=-1, pole_idx=-1), Setup(symbol='JINDALPOLY.NS', pole_date='2026-03-05', pole_low=474.8, pole_high=1026.45, pole_high_date='2026-03-19', pole_gain=1.1619, flag_bars=6, flag_end_date='2026-03-30', rail=779.8, rail_slope_pct=-4.305, sweep_date='2026-07-01', sweep_low=606.0, sweep_below_pct=-22.29, entry_date='2026-04-29', entry=710.05, stop=612.77, target=1026.45, risk_pct=13.7, reward_R=3.25, atr=34.45, status='DONE', bars_since_entry=nan, vol_x20=0.29, sweep_bars=65, sweep_red=37, sweep_red_frac=0.57, sweep_vol_x20=5.31, sweep_vol_vs_drift=66.52, sweep_close_pos=0.31, sweep_leg_pct=-5.0, turnover_cr=4.57, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.56, ret_horizon=-0.0136, mfe=0.0915, mae=-0.1465, bars_held=24, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2548, sweep_idx=2529, flag_end_idx=-1, pole_idx=-1), Setup(symbol='JINDALPOLY.NS', pole_date='2026-03-05', pole_low=474.8, pole_high=1026.45, pole_high_date='2026-03-19', pole_gain=1.1619, flag_bars=6, flag_end_date='2026-03-30', rail=779.8, rail_slope_pct=-4.305, sweep_date='2026-07-01', sweep_low=606.0, sweep_below_pct=-22.29, entry_date='2026-06-09', entry=669.9, stop=592.17, target=1026.45, risk_pct=11.6, reward_R=4.59, atr=27.65, status='DONE', bars_since_entry=nan, vol_x20=3.36, sweep_bars=65, sweep_red=37, sweep_red_frac=0.57, sweep_vol_x20=5.31, sweep_vol_vs_drift=66.52, sweep_close_pos=0.31, sweep_leg_pct=-5.0, turnover_cr=4.57, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.62, ret_horizon=-0.0001, mfe=0.1569, mae=-0.0954, bars_held=15, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2577, sweep_idx=2529, flag_end_idx=-1, pole_idx=-1)]",JINDAL POLY FILMS LIMITED,3064.2,False,2026,False
KPRMILL.NS,2026-06-18,1019.3,1334.0,2026-06-24,0.3087,20,2026-07-22,1089.1,-0.287,2026-07-24,1015.0,-6.8,2026-07-24,1061.5,994.3,1334.0,6.33,4.06,41.4,DONE,43.0,1.05,3,2,0.67,1.05,4.4,0.91,-3.28,28.72,False,False,-2.53,0,,0.0,open,0.778274536132812,,,,43,,open,43,2610,2608,2608,2584,first_bullish,1113.800048828125,0.04926994708254817,,KPR MILL LTD.,38150.2,False,2026,False
SCI.NS,2026-04-16,218.6,322.8,2026-04-17,0.4767,58,2026-07-08,283.6,-0.009,2026-07-24,260.2,-8.25,2026-07-31,291.45,255.72,322.8,12.26,0.88,8.95,DONE,,1.71,13,6,0.46,1.05,2.01,0.88,-4.46,52.3,True,True,2.77,1,2026-07-16,-0.63,open,-0.4156169576402006,-0.0372,0.098,-0.0983,39,,open,39,2615,2598,2598,2539,rail_reclaim,276.6000061035156,-0.05095211493046614,"[Setup(symbol='SCI.NS', pole_date='2026-04-16', pole_low=218.6, pole_high=322.8, pole_high_date='2026-04-17', pole_gain=0.4767, flag_bars=58, flag_end_date='2026-07-08', rail=283.6, rail_slope_pct=-0.009, sweep_date='2026-07-24', sweep_low=260.2, sweep_below_pct=-8.25, entry_date='2026-07-16', entry=290.5, stop=255.78, target=322.8, risk_pct=11.95, reward_R=0.93, atr=8.84, status='DONE', bars_since_entry=nan, vol_x20=0.5, sweep_bars=13, sweep_red=6, sweep_red_frac=0.46, sweep_vol_x20=1.05, sweep_vol_vs_drift=2.01, sweep_close_pos=0.88, sweep_leg_pct=-4.46, turnover_cr=52.3, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.63, ret_horizon=0.0071, mfe=0.1015, mae=-0.1043, bars_held=4, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2604, sweep_idx=2598, flag_end_idx=-1, pole_idx=-1)]",SHIPPING CORP OF INDIA LT,12884.0,False,2026,False
JARO.NS,2026-05-13,393.5,593.7,2026-05-25,0.5088,56,2026-08-11,450.1,-0.437,2026-08-12,435.1,-3.33,2026-08-12,444.4,427.29,593.7,3.85,8.73,15.61,DONE,31.0,0.61,2,1,0.5,1.37,2.32,0.52,-3.37,5.21,False,False,-1.27,0,,0.0,open,0.777323916249638,,,,31,,open,31,214,213,213,149,first_bullish,457.70001220703125,0.029928020267847133,,JARO INS OF TEC MG N RE L,1019.3,False,2026,False
EMSLIMITED.NS,2026-06-22,294.5,453.0,2026-06-23,0.5382,37,2026-08-13,380.0,-0.141,2026-08-17,358.05,-5.78,2026-08-17,369.1,350.57,453.0,5.02,4.53,14.97,DONE,28.0,1.75,3,1,0.33,1.75,5.98,0.57,-3.36,23.09,False,False,-2.87,0,,0.0,open,-0.5666483484341274,,,,28,,open,28,718,716,716,678,first_bullish,358.6000061035156,-0.028447558646665927,,EMS LIMITED,1991.3,False,2026,False
KPRMILL.NS,2026-06-18,1019.3,1334.0,2026-06-24,0.3087,20,2026-07-22,1089.1,-0.287,2026-07-24,1015.0,-6.8,2026-08-20,1153.2,999.94,1334.0,13.29,1.18,30.13,DONE,24.0,0.8,3,2,0.67,1.05,4.4,0.91,-3.28,28.72,True,True,5.89,0,,0.0,open,-0.2570791541946695,,,,24,,open,24,2629,2608,2608,2584,rail_reclaim,1113.800048828125,-0.03416575717297521,,KPR MILL LTD.,38150.2,False,2026,False
RAMCOSYS.NS,2026-06-24,516.25,967.5,2026-07-07,0.8741,13,2026-07-24,772.5,-0.697,2026-08-21,537.15,-30.47,2026-08-24,570.05,522.98,967.5,8.26,8.44,28.33,DONE,,1.15,21,15,0.71,0.56,2.04,0.36,-9.99,4.85,True,True,-26.21,2,"2026-07-30,2026-08-04",-1.1,open,0.24006746517819336,0.0198,0.0876,-0.0458,23,,open,23,2631,2610,2610,2588,first_bullish,581.3499755859375,0.019822779731492934,"[Setup(symbol='RAMCOSYS.NS', pole_date='2026-06-24', pole_low=516.25, pole_high=967.5, pole_high_date='2026-07-07', pole_gain=0.8741, flag_bars=13, flag_end_date='2026-07-24', rail=772.5, rail_slope_pct=-0.697, sweep_date='2026-08-21', sweep_low=537.15, sweep_below_pct=-30.47, entry_date='2026-07-30', entry=605.45, stop=534.38, target=967.5, risk_pct=11.74, reward_R=5.09, atr=53.84, status='DONE', bars_since_entry=nan, vol_x20=0.43, sweep_bars=21, sweep_red=15, sweep_red_frac=0.71, sweep_vol_x20=0.56, sweep_vol_vs_drift=2.04, sweep_close_pos=0.36, sweep_leg_pct=-9.99, turnover_cr=4.85, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.58, ret_horizon=0.0085, mfe=0.1145, mae=-0.1128, bars_held=2, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2614, sweep_idx=2610, flag_end_idx=-1, pole_idx=-1), Setup(symbol='RAMCOSYS.NS', pole_date='2026-06-24', pole_low=516.25, pole_high=967.5, pole_high_date='2026-07-07', pole_gain=0.8741, flag_bars=13, flag_end_date='2026-07-24', rail=772.5, rail_slope_pct=-0.697, sweep_date='2026-08-21', sweep_low=537.15, sweep_below_pct=-30.47, entry_date='2026-08-04', entry=592.1, stop=515.29, target=967.5, risk_pct=12.97, reward_R=4.89, atr=43.72, status='DONE', bars_since_entry=nan, vol_x20=0.11, sweep_bars=21, sweep_red=15, sweep_red_frac=0.71, sweep_vol_x20=0.56, sweep_vol_vs_drift=2.04, sweep_close_pos=0.36, sweep_leg_pct=-9.99, turnover_cr=4.85, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.52, ret_horizon=-0.041, mfe=0.1397, mae=-0.0928, bars_held=11, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2617, sweep_idx=2610, flag_end_idx=-1, pole_idx=-1)]",RAMCO SYSTEMS LTD.,2185.7,False,2026,False
JARO.NS,2026-05-13,393.5,593.7,2026-05-25,0.5088,56,2026-08-11,450.1,-0.437,2026-08-12,435.1,-3.33,2026-08-25,468.55,425.74,593.7,9.14,2.92,18.72,DONE,22.0,3.21,2,1,0.5,1.37,2.32,0.52,-3.37,5.21,True,True,4.1,0,,0.0,open,-0.2534451715246148,,,,22,,open,22,223,213,213,149,rail_reclaim,457.70001220703125,-0.023156520740515996,,JARO INS OF TEC MG N RE L,1019.3,False,2026,False
UEL.NS,2026-07-31,117.51,284.2,2026-08-11,1.4185,6,2026-08-19,211.36,-4.172,2026-08-26,157.1,-25.67,2026-08-26,171.74,150.8,284.2,12.19,5.37,12.6,DONE,21.0,0.95,6,1,0.17,0.95,5.69,1.0,-5.0,0.57,True,False,-18.75,0,,0.0,open,0.7808021173777754,,,,21,,open,21,2632,2627,2627,2614,first_bullish,188.08999633789062,0.09520202828630842,,UJAAS ENERGY LIMITED,2509.1,False,2026,False
LAXMIDENTL.NS,2026-05-22,192.03,275.49,2026-05-25,0.4346,57,2026-08-12,209.7,-0.15,2026-08-25,192.44,-8.23,2026-08-26,196.21,189.19,275.49,3.58,11.29,6.5,DONE,,0.54,10,8,0.8,4.19,9.53,0.17,-4.96,1.35,False,False,-6.43,1,2026-08-13,-0.45,open,0.11965855438145347,0.0043,0.0448,-0.0345,21,,open,21,399,389,389,331,first_bullish,197.0500030517578,0.004281142917067493,"[Setup(symbol='LAXMIDENTL.NS', pole_date='2026-05-22', pole_low=192.03, pole_high=275.49, pole_high_date='2026-05-25', pole_gain=0.4346, flag_bars=57, flag_end_date='2026-08-12', rail=209.7, rail_slope_pct=-0.15, sweep_date='2026-08-25', sweep_low=192.44, sweep_below_pct=-8.23, entry_date='2026-08-13', entry=206.23, stop=188.85, target=275.49, risk_pct=8.43, reward_R=3.99, atr=7.18, status='DONE', bars_since_entry=nan, vol_x20=1.86, sweep_bars=10, sweep_red=8, sweep_red_frac=0.8, sweep_vol_x20=4.19, sweep_vol_vs_drift=9.53, sweep_close_pos=0.17, sweep_leg_pct=-4.96, turnover_cr=1.35, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.45, ret_horizon=-0.0445, mfe=0.0027, mae=-0.0814, bars_held=3, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=390, sweep_idx=389, flag_end_idx=-1, pole_idx=-1)]",LAXMI DENTAL LIMITED,1084.5,False,2026,False
